"","mean.D75","mean.D150","mean.D300","mean.D500","mean.D700","mean.D1000","mean.D1300","mean.D1600","mean.D2000","mean.D3000","mean.D4000","x","y","area"
"41.1",0.73486328125,0.64727658033371,0.299945384263992,0.79638010263443,0.54766982793808,0.362524628639221,0.523122310638428,0.708816409111023,0.887222230434418,1.63612258434296,2.25450778007507,100,9100,8724.50625551119
"41.1.1",0.871341347694397,1.11005306243896,1.50953078269958,1.82041788101196,2.23137307167053,2.76572513580322,2.50740122795105,2.85165667533875,3.00101375579834,2.20603656768799,2.7895188331604,-100,9100,11215.8177828528
"42.1",-9999,-9999,-9999,0.036163330078125,0.366032987833023,0.138489320874214,0.444066762924194,0.740017056465149,1.14804124832153,2.0423219203949,2.76247787475586,100,9000,8589.17945259809
"42.1.1",0.751455247402191,0.840061962604523,1.31381046772003,1.80161046981812,2.20831418037415,2.64142942428589,2.86536478996277,2.59060144424438,2.15804624557495,2.21570420265198,2.753014087677,-100,9000,11351.9769196734
"43.1",0.167380481958389,0.38763615489006,0.759177207946777,1.23612689971924,1.63600015640259,1.98119652271271,2.2188515663147,2.06783890724182,1.93599712848663,2.14644050598145,2.73921179771423,-100,8900,11454.7836673148
"43.1.1",-9999,-9999,-9999,-9999,-9999,0.117246992886066,0.361168473958969,0.596613645553589,0.934910893440247,1.84442639350891,2.57697057723999,100,8900,8485.54281139001
"44.1",-9999,-9999,-9999,-9999,-9999,0.188193276524544,0.467733532190323,0.808705806732178,1.22558641433716,2.14892053604126,2.89722919464111,100,8800,8521.34272488579
"44.1.1",0.149441763758659,0.2479497641325,0.714154839515686,1.19152176380157,1.30934655666351,1.56974518299103,1.9309458732605,2.28484702110291,2.69058799743652,2.80815172195435,3.5445601940155,-100,8800,11419.7234649397
"45.1",0.699753522872925,0.742437660694122,1.1977082490921,1.66376161575317,1.50583839416504,0.332021802663803,0.636177539825439,1.00853180885315,1.46152424812317,2.41626620292664,3.17935061454773,100,8700,8637.19599436596
"45.1.1",-9999,-9999,-9999,-9999,-9999,-9999,0.33711239695549,0.681281685829163,1.10581827163696,0.905800521373749,1.66289913654327,-100,8700,11303.4162242562
"46.1",0.506134867668152,0.706545412540436,1.15028238296509,1.53119730949402,1.88154017925262,1.22118937969208,1.19324564933777,1.30290162563324,1.67402613162994,2.5162398815155,3.25715947151184,100,8600,8847.30180943199
"46.1.1",-9999,-9999,-9999,0.322059631347656,0.724418640136719,1.26313781738281,1.24278950691223,1.64979135990143,2.11463046073914,3.11352896690369,0.667368829250336,-100,8600,11093.5595530067
"47.1",0.1158846616745,0.395637065172195,0.814267814159393,1.18279528617859,1.58282899856567,1.8592631816864,2.30420184135437,2.19765639305115,2.57427000999451,2.63872265815735,3.40453147888184,100,8500,9092.07233536616
"47.1.1",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.291671752929688,0.407759696245193,-100,8500,10849.2832168955
"48.1",0.549652516841888,0.855793595314026,1.2468775510788,1.70703125,2.11117720603943,2.43114304542542,2.79589343070984,3.21428799629211,3.31959557533264,3.3525869846344,3.94287419319153,100,8400,9317.65674875863
"48.1.1",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-100,8400,10623.2508595604
"49.1",0.74840521812439,0.983693420886993,1.27825093269348,1.7328667640686,1.95961928367615,2.50754451751709,2.77276659011841,3.19776773452759,3.68793606758118,4.27244710922241,4.75459003448486,100,8300,9565.3197236862
"49.1.1",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-100,8300,10375.8927713959
"50.1",0.609626173973083,0.838956952095032,1.15978586673737,1.61374735832214,2.02360224723816,2.57776474952698,3.06919097900391,3.49911689758301,3.99659013748169,5.07351589202881,5.88984394073486,100,8200,9786.85127865802
"50.1.1",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-100,8200,10154.383959976
"51.1",0.506206333637238,0.726726233959198,1.12922859191895,1.59571206569672,2.01725196838379,2.58291554450989,3.08196473121643,3.51828980445862,4.02381563186646,5.11795997619629,5.97805547714233,100,8100,9986.36505369004
"51.1.1",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-100,8100,9954.86288690101
"52.1",0.575904607772827,0.706720530986786,1.07295572757721,1.55446016788483,1.99318397045135,2.572509765625,3.07940673828125,3.52327990531921,4.0332088470459,5.13746881484985,6.00535202026367,100,8000,10162.0281616244
"52.1.1",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-100,8000,9779.18621124513
"53.1",0.460963398218155,0.674436092376709,1.09936034679413,1.6252475976944,2.01527523994446,2.60876083374023,3.06165337562561,3.44779944419861,3.96318674087524,5.0541205406189,5.92647409439087,100,7900,10290.1540723657
"53.1.1",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-100,7900,9651.07291361224
"54.1",0.483357101678848,0.592518746852875,1.08705675601959,1.63567078113556,2.03420329093933,2.63515782356262,3.13858675956726,3.5912811756134,4.1099853515625,5.22069597244263,6.08343076705933,100,7800,10377.1209435565
"54.1.1",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-100,7800,9564.158812779
"55.1",0.599325358867645,0.784052550792694,1.27065658569336,1.81143057346344,2.2860734462738,2.89258122444153,3.40859174728394,3.84713339805603,4.36552286148071,5.46558904647827,6.33368730545044,100,7700,10429.1696421541
"55.1.1",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-100,7700,9512.11572327837
"56.1",0.675592958927155,0.926504731178284,1.4920027256012,2.02693819999695,2.50292801856995,3.10993790626526,3.62542963027954,4.07792091369629,4.5932149887085,5.69698619842529,6.56131839752197,100,7600,10453.9932966158
"56.1.1",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-100,7600,9487.24260893092
"57.1",0.492976158857346,0.595874190330505,1.1209135055542,1.68807423114777,2.1603319644928,2.75886011123657,3.2727324962616,3.72460222244263,4.2401556968689,5.34105634689331,6.20317220687866,100,7500,10460.9943979792
"57.1.1",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-100,7500,9480.16890637763
"58.1",0.375956147909164,0.528984487056732,0.613040626049042,1.13764667510986,1.61959183216095,2.21352195739746,2.71305441856384,3.1651566028595,3.68032741546631,4.77972459793091,5.64017772674561,100,7400,10450.202112997
"58.1.1",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.209200471639633,-100,7400,9490.96344301291
